C#,CNAME,PERIOD,CREDIT,TEACHER
RE-54,性别、 科学与美,32,2.0,"周屈兰,王奕轩"
RE-57,中国文化与中华民族共同体,32,2.0,"常新,曹耿献,熊雯,李晓光,魏琛琳,刘琰,张顺"
RE-60,社会调查的艺术：方法与实践,32,2.0,"陈滔,缪晓雷,王梓懿,王旭清,卢春天"
RE-82,诺贝尔文学奖获奖作品选读,32,2.0,"翟杨莉,魏琛琳,魏策策,张勇"
ND-60,经济社会学,48,3.0,"赵文龙,郝明松"
ED-57,旧制度与大革命,16,1.0,杨建科
ED-07,声乐表演艺术,32,2.0,李娟
ED-28,钢琴演奏表演艺术中级,64,4.0,刘明
ED-34,钢琴演奏表演艺术初级,64,4.0,"文茹,刘明"
ED-46,欧洲浪漫音乐派欣赏,32,2.0,方小笛
ED-49,书法鉴赏,32,2.0,程健
ED-58,审美学,32,2.0,常新
ED-70,中华文化经典选粹,16,1.0,"刘彦彦,韩鹏杰"
ED-63,爱情心理学,32,2.0,"刘俊峰,丁晓军,杨沈龙"
ED-66,音乐剧实践体验,32,2.0,金晨
ED-69,文学与中国古代日常生活,32,2.0,"刘祥,李明,许浩然,吴小侠,魏琛琳,罗军凤"
ED-75,中国音乐史与音乐考古,32,2.0,"熊雯,杨晓萍,张菊芳,刘明"
ED-78,地理信息与人类社会,32,2.0,贺力
ED-84,费孝通社会研究经典导读,16,1.0,徐婧
ED-87,计算社会科学导论,32,2.0,蔡萌
ED-90,秦腔艺术与文化传承,32,2.0,"古栋,刘明,吴小侠"
ED-17,现实的社会建构--知识社会学论纲,16,1.0,罗阳
ED-23,音乐创编与审美,32,2.0,"刘明,刘俊峰"
ED-29,古琴演奏实践,32,2.0,"程健,梁睿"
ED-41,古琴演奏实践（中级）,32,2.0,梁睿
ED-44,《战国策》人物与话术鉴赏,16,1.0,韩鹏杰
ED-50,走进音乐人工智能,32,2.0,"李东鹤,曹耿献"
ED-53,中国民族钢琴音乐赏析,32,2.0,"刘明,方小笛,文茹"
ED-59,《社会分工论》经典导读,16,1.0,王梓懿
ED-62,现代科学与政治的哲学基础,32,2.0,罗久
ED-68,行走华夏：中华民族共同体理论与实践,32,2.0,"文茹,王劲,李娟,熊雯,丁晓军,陆淑敏,刘源,曹耿献,刘彦彦,王伟"
ED-64,考古中国,32,2.0,张顺
ED-67,灿烂的唐代文化,32,2.0,杨建科
SJ-75,社会调查实践,48,3.0,"郭小弦,李晓光,缪晓雷,陈滔"
SJ-50,创新实践,96,3.0,李晓光
TE-84,语文2,64,4.0,"孙飞鹏,孙启洲"
TE-02,大学语文2（民族预科）,64,4.0,"翟杨莉,谭静"
TE-95,学年论文1,16,1.0,古栋
TE-01,学年论文2,16,1.0,曾祥金
TE-07,中国语言文学专业导论,16,1.0,"王瑶,王学强,孙启洲,许浩然,张勇,魏琛琳,孙飞鹏,丁丁"
TE-39,中国古代文学史II,48,3.0,许浩然
TE-45,中国现代文学史,48,3.0,张勇
TE-57,文艺美学,32,2.0,王学强
TE-60,中国古代文论,48,3.0,翟杨莉
TE-72,外国文学作品研读,32,2.0,魏策策
TE-87,语言学概论,32,2.0,马梅玉
TE-23,中国当代文艺思潮,32,2.0,翟杨莉
TE-34,社会语言学,32,2.0,马梅玉
TE-46,唐诗与长安,32,2.0,李明
TE-58,戏曲鉴赏,32,2.0,吴小侠
TE-79,中国现代文学文献学,32,2.0,曾祥金
TE-88,音韵学,32,2.0,"丁丁,李明,马梅玉"
LS-28,逻辑与批判性思维,32,2.0,"王伟,丁晓军"
LS-24,美学,48,3.0,妥建清
LS-69,伦理学,48,3.0,王珏
LS-78,马克思主义哲学原著选读,48,3.0,罗久
LS-81,西方哲学原著选读,48,3.0,张志伟
LS-84,中国哲学原著选读,48,3.0,"刘俊,邓妙子,谢徐林"
LS-87,宗教哲学,48,3.0,邓妙子
LS-02,西方哲学史 II,48,3.0,"王嘉新,张志伟,王健"
LS-05,马克思主义哲学史II,48,3.0,"王健,王赛"
LS-08,西方哲学史I,64,4.0,"曹聪,王嘉新"
LS-11,中国哲学史I,48,3.0,谢徐林
LS-62,宋明理学,32,2.0,刘俊
LS-80,科学技术史,32,2.0,王振嵩
LS-01,形而上学导论,32,2.0,张志伟
LS-04,复杂信息系统理论基础,32,2.0,邬天启
LS-10,智能科学的哲学基础,32,2.0,丁晓军
LS-34,德国哲学,32,2.0,程府
LS-37,中国现当代哲学前沿,32,2.0,龚建平
LS-40,西方哲学前沿,32,2.0,罗久
LS-46,价值哲学导论,32,2.0,王振嵩
LS-58,政治哲学导论,32,2.0,付侗
YL-96,心理发展与健康,32,2.0,"钱玉燕,李占星"
YL-26,医学心理学,32,2.0,倪晓莉
CL-28,社会研究方法,32,2.0,"郭小弦,李晓光,缪晓雷,帅满,陈滔"
CL-45,中国社会学史,32,2.0,姜利标
CL-51,社会分层与流动,48,3.0,张顺
CL-57,组织社会学,48,3.0,李晓光
CL-69,社会统计学,48,3.0,朱晓文
CL-08,社会组织管理,48,3.0,吴苏
CL-44,老年社会学,32,2.0,陈滔
CL-65,人类学,32,2.0,缪晓雷
CL-83,社会网络分析,48,3.0,"悦中山,杨张博"
CL-86,家庭与性别社会学 Sociology of Family and Gender,48,3.0,王奕轩
CL-04,社会政策学,32,2.0,郭小弦
CL-22,西方社会学理论前沿,32,2.0,"姜利标,吴苏"
IC-92,媒介伦理与法治,48,3.0,申楠
IC-01,网络舆情监测与研判,48,3.0,陈强
IC-10,马克思主义新闻观,48,3.0,叶妮
IC-25,新媒体广告设计,48,3.0,刘婵君
IC-28,媒介运营与管理,48,3.0,张宏邦
IC-30,传播学研究方法,48,3.0,张立
IC-03,数字媒介概论,32,2.0,牛耀红
IC-12,国际传播,48,3.0,申楠
IC-27,批判传播学,32,2.0,赵一菲
IC-77,网页设计与制作,32,2.0,杨帆
ED-25,危机传播学：从理论到实战,32,2.0,"李巨星,张窈,王威力,廖政贸,李明德"
TE-91,媒介理论研究与前沿,32,2.0,赵一菲
TE-06,传播思想史,32,2.0,"张铁云,达雅楠"
ED-31,体育-4,32,0.5,任文君
ED-93,24式太极拳,16,0.0,洪流
ED-08,陆上赛艇,16,0.0,路海华
RE-14,欧洲文明的现代历程,32,2.0,"张雨金,邱鹄,张莉,田鹏"
GL-62,出国访学准备（钱学森学院）,32,2.0,牛莉
GL-32,医学英语词汇（留）,48,3.0,范晓晖
GL-38,二外/英语-1,32,2.0,朱嘉春
GL-41,二外/英语-3,32,2.0,朱嘉春
GL-07,阅读与写作（少年班）2,32,2.0,成旻
GL-16,交流与表达（少年班）2,32,2.0,成旻
GL-28,大学英语2（民族预科）,64,4.0,曹浩煊
GL-43,欧洲文化渊源,32,2.0,邱鹄
GL-55,美国文化,32,2.0,司选海
GL-61,商务英语,32,2.0,陈丽
GL-67,英语辩论,32,2.0,张静洁
GL-70,英语电影视听说,32,2.0,马琼
GL-91,英语学术论文写作,32,2.0,邵娟
GL-00,中国文化翻译,32,2.0,靳蓉
GL-03,阅读与思辨,32,2.0,孙燕
GL-06,英语写作基础,32,2.0,杨亭
GL-09,雅思写作,32,2.0,杨扬
GL-12,沟通与文化交流,32,2.0,许明
GL-15,雅思口语,32,2.0,曹兴潭
GL-18,TED英语视听说I,32,2.0,李瑛
GL-21,TED 英语视听说II,32,2.0,郑青
GL-33,新一代大学英语,32,2.0,杜文博
GL-39,医学英语术语,32,2.0,张鹏
GL-57,国际人才英语,32,2.0,张静洁
GL-96,学术英语听说,32,2.0,王芙蓉
GL-11,学术英语读写,32,2.0,卢燕华
GL-20,理解当代中国：英语读写,32,2.0,高洋
GL-14,英语语法,32,2.0,"陈向京,张蕾"
GL-77,美国文学史及选读（日英方向）,32,2.0,邹敏
GL-89,综合英语（日英方向）I-2,64,4.0,"李莹,曹浩煊"
GL-01,英语视听说（日英方向）-2,32,2.0,张莉
GL-04,美国文学史及选读-2,32,2.0,"杜丽霞,邹敏"
GL-19,口译实务-2,24,1.5,"李雅丽,常虹"
GL-25,英语演讲,32,2.0,刘睿
GL-49,笔译-2,24,1.5,张敏
GL-94,综合英语：文学,48,3.0,王非
GL-27,英国文学史及选读,48,3.0,曹兴潭
GL-95,诗歌赏析与翻译,16,1.0,曹浩煊
GL-52,英美戏剧,32,2.0,KALAYCI HASAN HUSEYIN
GL-79,应用语言学概论,16,1.0,"张蕾,张晓鹏"
GL-88,国际交流演讲与辩论,32,2.0,楚建伟
GL-42,国际关系导论,32,2.0,赵葆珉
GL-60,理论语言学入门,32,2.0,"袁芳,魏行,杨文纯"
GL-72,英语视听说-4,48,3.0,"吴洁莹,KALAYCI HASAN HUSEYIN"
GL-58,创新创业项目,32,1.0,张蕾
GL-73,英语读写实践-2：理解当代中国,16,0.5,王非
GL-76,英文辩论实践,32,1.0,刘睿
PA-14,二外/西班牙语-2,64,4.0,田沛
AN-26,二外/法语-2,64,4.0,樊静薇
AN-62,法语视听说III-2,16,1.0,曾珠
AN-92,综合法语III-2,96,6.0,寇媛媛
AN-43,基础法语精读I-2,128,8.0,"孟丽娜,曾珠"
AN-52,法语写作-1,16,1.0,BAROT OLIVIER CYRIL
AN-61,基础法语精读II-2,128,8.0,"李文君,樊静薇"
AN-85,初级法语-2,96,6.0,郭琳
AN-91,基础法语视听说-2,32,2.0,曾珠
AN-94,中级法语视听说-2,32,2.0,孟丽娜
AN-46,法语报刊选读,16,1.0,BAROT OLIVIER CYRIL
AN-70,旅游法语,16,1.0,李文君
AN-76,法语国家及地区文化,16,1.0,BAROT OLIVIER CYRIL
AN-88,现当代法语文学导读,16,1.0,臧小佳
AN-00,法国美食文化,32,2.0,BAROT OLIVIER CYRIL
AN-30,法语系统语法,32,2.0,郭琳
AN-36,中法跨文化交际,32,2.0,BAROT OLIVIER CYRIL
RM-41,二外/德语-2,64,4.0,钟游
RM-38,德语基础口语,32,2.0,何小超
RM-47,基础德语,96,6.0,何小超
RM-74,德语欧标写作,32,2.0,何小超
RM-77,德语欧标阅读,32,2.0,何小超
RM-80,德语欧标口语,32,2.0,何小超
RM-83,德语欧标听力,32,2.0,何小超
RM-01,中级德语-2,96,6.0,赵欣
RM-22,基础德语视听说-3,32,2.0,何小超
ED-73,英语演讲艺术,32,2.0,"刘睿,吉乐"
ED-60,德语区语言与文化,64,4.0,何小超
ED-72,心理、行为与文化,32,2.0,"赵荣,姚昭"
ED-81,英语词源与文化,16,1.0,"杨蕾,史文霞,马丽娜"
PN-38,二外/日语-2,64,4.0,"曹红荃,任宏昊"
PN-44,日语基础,32,2.0,"沈丽芳,张文丽"
PN-29,日语口译,32,2.0,"沈丽芳,孙莉"
PN-26,日语学术论文特征与写作,32,2.0,"霍士富,曹红荃,范夏苇,任宏昊,时渝轩"
PN-32,基础日语,90,6.0,"沈丽芳,任宏昊,范夏苇"
PN-35,日语写作,32,2.0,"YAZAKI MASAKAZU,KANETO SACHIKO"
PN-47,日语会话,32,2.0,"任宏昊,沈丽芳"
PN-53,日语语言学概论,32,2.0,"张伟莉,任宏昊,曹红荃"
PN-83,日语听说Ⅲ-2,32,2.0,KANETO SACHIKO
PN-86,综合日语Ⅲ-2,64,4.0,KUGAWA MICHITAKE
PN-95,日语视听说-2,32,2.0,王晶
PN-01,基础日语-2,96,6.0,"沈丽芳,YAZAKI MASAKAZU"
PN-04,基础日语-4,96,6.0,"孙莉,KANETO SACHIKO"
PN-19,日语基础写作,32,2.0,KUGAWA MICHITAKE
PN-22,日语视听说-4,32,2.0,张伟莉
PN-25,日语阅读,32,2.0,"曹红荃,张伟莉,张文丽"
PN-61,日语会话-2,32,2.0,KUGAWA MICHITAKE
PN-73,日语会话-4,32,2.0,YAZAKI MASAKAZU
SJ-70,日语口译实践,16,0.5,"孙莉,沈丽芳"
SJ-73,日语听说实践,32,1.0,YAZAKI MASAKAZU
AC-08,英语翻译实践,16,0.5,张敏
SS-26,二外/俄语-2,64,4.0,刘彦晶
SS-17,俄译汉,32,2.0,叶琳
SS-35,高级俄语-2,64,4.0,王慧
SS-71,俄语口语-2,32,2.0,YANGUTOVA RITA
SS-86,综合俄语-2,80,5.0,彭玲
SS-10,俄语报刊阅读,32,2.0,刘彦晶
SS-28,基础俄语视听说-5,16,1.0,YANGUTOVA RITA
LU-01,English Language and Study Skills for Business-2,150,5.0,黄平安
SM-19,医学基础,64,4.0,"李延海,吴静"
CH-10,生物化学实验,32,1.0,"李华,孔宇"
ME-09,医学信息工程,32,2.0,"王刚,李尤君"
ME-42,生物医学传感与仪器,48,3.0,"闫相国,李津"
ME-48,生物医学传感与仪器专题实验,32,1.0,"李津,张博,吴敏"
ME-66,医学智能诊断,44,2.0,"许夏瑜,李斌"
ME-75,生物医学工程综合设计实验Ⅰ,32,1.0,"王刚,周秦武,李剑君"
ME-78,医学基础专题实验,32,1.0,"陈岚,吴静"
ME-84,生物医学工程概论,32,2.0,张建保
ME-87,生物医学工程综合设计实验,64,2.0,王刚
ME-90,生物材料,48,3.0,"宗瑜瑾,马玉菲"
ME-47,单片机与嵌入式系统,64,3.0,"周秦武,杨玥"
ME-59,数据结构与算法,40,2.0,"许夏瑜,杨清振"
ME-71,生物信息学,40,2.0,"张虎勤,吴晓明"
ME-77,物理治疗原理与设备,32,2.0,"张思远,王永波"
ME-83,生物传热与传质,32,2.0,"何晓聪,冯上升"
ME-07,微流控芯片技术,32,2.0,冯上升
ME-10,高等生物材料,32,2.0,"马玉菲,靳国瑞,魏钊"
ME-13,医用光学成像原理与仪器,32,2.0,"王斯佳,辛静"
ME-19,生物医学光子学,32,2.0,"辛静,姚翠萍"
ME-40,STM32核心板电路设计与制作,32,1.0,张博
ME-43,医疗器械研发管理与产品认证,40,2.0,"李剑君,张博"
ME-46,医学检验仪器,40,2.0,"翁国军,张博,杨玥"
ME-56,科研思维训练-1,16,0.5,"朱键,张建保,李剑君,宗瑜瑾,李菲,孙晓龙,王斯佳,何晓聪,钟徽,张四平"
ME-65,科研技能训练-1,16,0.5,"林敏,李剑君"
OL-11,生物2,40,2.0,闫菡
OL-26,生命科学基础I,56,3.0,"高琨,冯怡,丁岩,亓树艳,孙书洪"
OL-16,遗传学实验,32,1.0,朱东丽
OL-22,细胞生物学,48,3.0,丁岩
OL-28,遗传学Genetics,56,3.5,"闫菡,杨铁林,郭燕"
OL-37,Molecular Biology,48,3.0,"卢晓云,宋茜"
OL-40,遗传学,48,3.0,"杨铁林,郭燕"
OL-52,细胞生物学实验H,32,1.0,"高美丽,姜曼"
OL-58,分子生物学实验H,32,1.0,"亓树艳,孙书洪"
OL-45,分离综合开放实验,48,1.5,"张雅利,孔宇"
OL-51,生物化学-2,48,3.0,"彭韵桦,龙建纲"
OL-90,生命科学综合实验-1,32,1.0,"孔宇,孙书洪,李华,侯占武"
OL-93,生命科学前沿,32,2.0,"王昌河,丁毅,张义磊,谢文俊,黄荣,徐华栋,彭韵桦,李昊"
OL-05,代谢组学,32,2.0,"田中民,杨哲"
OL-29,合成生物学,32,2.0,谭丹
OL-38,生物制药技术,32,2.0,高美丽
OL-41,发酵技术与应用,32,2.0,高美丽
OL-47,基因编辑与基因治疗,32,2.0,陈锋
OL-50,生物组学与精准医学,32,2.0,"许洁,曹可"
OL-53,衰老生物学,32,2.0,"许洁,曹可"
OL-59,干细胞与再生医学,32,2.0,耿晶
OL-71,生物科技史,32,2.0,时乐
EM-29,生化仪器分析,32,2.0,"武亚艳,赵永席"
SJ-65,科研思维训练-2,16,0.5,"许丹,彭韵桦,成瀛,林敏,冯怡,杨哲,李昊"
AU-09,会计学,48,3.0,毛秋蓉
RE-24,破解中国经济发展之谜,32,2.0,李英东
MT-81,电子商务物流管理,32,2.0,魏修建
MT-02,电子商务原理,36,2.0,徐晓瑜
MT-05,网络经济学,34,2.0,"王智鑫,徐晓瑜"
MT-92,客户关系管理,32,2.0,王维
MT-10,多媒体技术,40,2.0,杨超凡
MT-28,电子政务,36,2.0,王立华
MT-31,人工智能概论,40,2.0,周博
MT-52,金融电子商务,40,2.0,张桂清
ND-31,经济学专业导论,16,1.0,"李聪,宋丽颖,杨万平,乔志林,李双燕,马草原,刘航,马贵元"
ND-85,宏观经济学Ⅱ,32,2.0,冯亚萍
ND-91,宏观经济学,64,4.0,贾小玫
ND-03,微观经济学,64,4.0,程瑜
ND-12,中级宏观经济学,48,3.0,"魏玮,赵方"
ND-24,博弈论,48,3.0,闫大卫
ND-30,人力资源管理,32,2.0,赵志平
ND-39,微观经济学,48,3.0,李华清
ND-42,公司理财,48,3.0,张成毅
ND-48,市场营销,32,2.0,张慧芳
ND-54,博弈论,48,3.0,闫大卫
ND-57,行为经济学,32,2.0,张蕾
ND-20,制度经济学,32,2.0,程瑜
ND-26,资本论选读,32,2.0,赵方
ND-29,环境与资源经济学,32,2.0,贾智杰
ND-32,公共经济学,32,2.0,贾小玫
ND-68,经济学概论,32,2.0,李华清
ND-80,行为经济学,40,2.0,"张蕾,乔志林"
ND-83,博弈论,32,2.0,王锋
ND-89,实验经济学,32,2.0,张蕾
ND-95,博弈论,32,2.0,闫大卫
NA-19,金融学,44,2.5,马瑶
NA-43,金融学,48,2.5,马文涛
NA-46,经济大数据分析,48,2.5,"李淑彪,王莹,董志龙,周博"
NA-27,国际金融学,40,2.5,何建奎
NA-30,中央银行学,32,2.0,景薇
NA-33,公司金融,32,2.0,李倩
NA-24,连续时间金融,32,2.0,王坤
NA-36,算法与数据结构,32,2.0,李淑彪
NA-72,公司金融,32,2.0,毛秋蓉
NA-75,金融市场学,48,3.0,毛秋蓉
NA-87,税务筹划,36,2.0,"薛晓琳,张雅丽"
NA-93,建行企业文化与普惠金融,32,2.0,李淑彪
NA-05,金融科技前沿讲座,32,2.0,李淑彪
NA-11,数字货币与金融风险管理,32,2.0,李锐
NA-14,现代金融学,48,3.0,马瑶
NA-26,数字经济概论,32,2.0,"林颖,樊仲琛"
NA-32,经济学原理,16,1.0,李华清
NA-38,随机过程,32,2.0,王坤
NA-35,投资项目评估,32,2.0,毛英
NA-56,金融风险管理,32,2.0,马草原
NA-59,互联网金融,32,2.0,"张成虎,王雪萍,王莹,李淑彪"
NA-47,政府采购管理,32,2.0,"宋丽颖,冯晨"
NA-74,外国税制,32,2.0,刘华
NA-86,金融工程案例分析,32,2.0,李岩
NA-95,金融大数据应用,40,2.0,"王莹,董志龙"
NA-01,投资基金管理,32,2.0,景薇
NA-10,量化投资技术与方法,32,2.0,"元向辉,李岩"
NA-25,经济金融中的数理模型,32,2.0,"张成毅,董志龙,马贵元"
NA-28,财税应用研究基础,32,2.0,程可为
NA-31,证券市场前沿与实务,32,2.0,程茂勇
ED-21,宏观经济学,32,2.0,闫大卫
TE-15,经贸汉语,64,4.0,徐丽华
TE-32,国际市场营销学,40,2.5,赵锴
TE-50,国际贸易实务,40,2.5,魏佳
TE-56,跨国公司经营管理,32,2.0,王增涛
TE-68,国际商务,32,2.0,陈绍俭
TE-31,国际经济合作,32,2.0,赵锴
